timestamp,cpu_percent,ram_mb
1737395526,114.00,1072.38
1737395527,106.00,1072.38
1737395528,111.00,1072.38
1737395529,104.00,1072.38
1737395530,110.00,1072.38
1737395531,109.00,1072.38
1737395532,108.00,1072.38
1737395533,109.00,1072.38
1737395534,105.00,1072.38
1737395535,108.00,1072.38
1737395536,107.00,1072.38
1737395537,108.00,1072.38
1737395538,105.00,1072.38
1737395539,108.00,1072.38
1737395540,105.00,1072.38
1737395541,105.00,1072.38
1737395542,106.00,1072.38
1737395543,105.00,1072.38
1737395544,108.00,1072.38
1737395545,107.00,1072.38
1737395546,108.00,1072.38
1737395547,104.00,1072.38
1737395548,110.00,1072.38
1737395549,104.00,1072.38
1737395550,114.00,1072.38
1737395551,108.00,1072.38
1737395552,104.00,1072.38
1737395553,109.00,1072.38
1737395554,109.00,1072.38
1737395555,112.00,1072.38
1737395556,104.00,1072.38
1737395557,106.00,1072.38
1737395558,108.00,1072.38
1737395559,105.00,1072.38
1737395560,107.00,1072.38
1737395561,105.00,1072.38
1737395562,105.00,1072.38
1737395563,106.00,1072.38
1737395564,106.00,1072.38
1737395565,105.00,1072.38
1737395566,113.00,1072.38
1737395567,108.00,1072.38
1737395568,109.00,1072.38
1737395569,113.00,1072.38
1737395570,104.00,1072.38
1737395571,110.00,1072.38
1737395572,112.00,1072.38
1737395573,105.00,1072.38
1737395574,108.00,1072.38
1737395575,106.00,1072.38
1737395576,105.00,1072.38
1737395577,107.00,1072.38
1737395578,109.00,1072.38
1737395579,105.00,1072.38
1737395580,107.00,1072.38
1737395581,111.00,1072.38
1737395582,104.00,1072.38
1737395583,106.00,1072.38
1737395584,108.00,1072.38
1737395585,105.00,1072.38
1737395586,105.00,1072.38
1737395587,107.00,1072.38
1737395588,105.00,1072.38
1737395589,178.00,1072.38
1737395590,323.00,1090.84
1737395591,338.00,1093.33
1737395592,267.00,1088.32
1737395593,109.00,1088.32
1737395594,106.00,1088.32
1737395595,107.00,1088.32
1737395596,105.00,1088.32
1737395597,107.00,1088.32
1737395598,107.00,1088.32
1737395599,112.00,1088.32
1737395600,104.00,1088.32
1737395601,107.00,1088.32
1737395602,108.00,1088.32
1737395603,105.00,1088.32
1737395604,106.00,1088.32
1737395605,105.00,1088.32
1737395606,104.00,1088.32
1737395607,111.00,1088.32
1737395608,109.00,1076.57
1737395609,105.00,1076.57
1737395610,108.00,1076.57
1737395611,105.00,1076.57
1737395612,104.00,1076.57
